Propozitie,Total Cuvinte,Strict RU (Code-switch),OOV (Necunoscute),Lista RU,Lista OOV
Ваш ділер годних серіалів приніс вам особливий товар.,8,0,1,,ділер
"найменша сестра принесла, середуща взяла під свою відповідальність. вже три місяці має",12,0,1,,середуща
"Люблю ці всі уловкі мозку: хвилину тому ти розмірковував про Шопенгауера, і ось раптом починаєш наспівувати ""Запахло весной"".",18,1,1,весной,уловкі
"- Мені, будь ласка, бургер і колу - Молодий чоловіче, ви в бібліотеці!",11,1,0,бургер,
"Ну, це тіпа добре, коли хвалять.",6,0,1,,тіпа
"В метро на ескалаторі дєфка фоткає себе, кохану, на айпедик (це я не про себе) 8) *їде на роботу*",18,0,3,,"дєфка, фоткає, айпедик"
"У Медведчука він недавно питав пораду про обивку для меблів, мабуть",11,1,0,обивку,
"Чемі хатіа самшобло, сахате мтелі квекана (моя ікона — Батьківщина, підіконник — вся країна)",12,0,7,,"Чемі, хатіа, самшобло, сахате, мтелі, квекана, підіконник"
скоро буду своєю серед чужих))) ахаха,6,0,1,,ахаха
"- Знаю, шо ти нічого не хотіла на ДН, але ось тобі малееенький подаруночок!",13,1,2,шо,"ДН, малееенький"
Найсумніша історія в світі: барига пішов продавати страхівки.,8,0,1,,страхівки
А мальчик навпроти мене наблював повний пакєт і на маму слєгка,11,1,3,мальчик,"наблював, пакєт, слєгка"
Привітаєм же запальну Жанну д'Арк - у неї сьогодні дн),8,0,1,,дн
у мордорі поширила лінк: Flash mob in the Copenhagen Metro.,4,0,2,,"мордорі, лінк"
"Обіцянки виконую,  тримай...нічого особливого,але рушник вишивала дооовго :",9,0,1,,дооовго
"Хіба від різних снобів, які силують себе правільним проізношенієм.",9,0,2,,"правільним, проізношенієм"
"Не привезу тобі ніц з Польщі.	0
Це буде третій підряд у моїй френдстрічці пост про Сьомого сина.	0
Я що запитати хтів у свідків блокади & рєдутів: українських полонених вже всіх відпустили?	0
Люблю йти пішки прохолодними ранками, з рюкзаком за плечима.	0
Тебе не силують зустрічатися з ним.	0
Ой блін,  що ж скаже мама	0
Я собі й дитині купую здебільшого литовську молочку...	0
-Діма, не можна вирішувати проблеми в житті стікерами з телеграму.	0
А тут я поплила від смакоти І вдома бачу виробник-	0
Чувак на Хрещатику мені запальничку подарував) І взагалі постояв з нами про життя поговорив, люблю таке	0
Я в душ, а зранку зроблю домашку.	0
#Львів, у Сколе двіжуха — силовики блокують базу #ПравийСектор.	0
Не люблю коли хтось бере в руки мій телефон	0
Якщо б збрехав, а я цього не люблю, то також би образилися.	0
В мене одне питання: якщо все перманентно херово, як можна взагалі так жити?	0
ех а в мене цей альбом улюблений	0
У вас - зеленая аура"" Гии, зелений - мій улюблений колір :з",159,1,11,зеленая,"ніц, френдстрічці, хтів, рєдутів, блін, стікерами, домашку, двіжуха, ПравийСектор, херово, Гии"
Федерер обіграв Джоковича в півфіналі Ролан Гарросу!,7,0,1,,Гарросу
"Шрайк, як завжди, блискучий #апалчєнци",5,0,2,,"Шрайк, апалчєнци"
"Лейтмотивом выставки стал тезис «Современное искусство как место для селфи».  та інші проблеми, які цікавлять сучасних харківських митців",18,7,0,"выставки, стал, Современное, искусство, как, место, селфи",
Таня не має цього читати!!!* оу.,6,0,1,,оу
Да щось актуальне в стрічці промайнуло.,6,1,0,Да,
"Чи вже пояснив ребе, яку високу ціль переслідувало НАБУ прослуховуючи _не_ держслужбовця категорії А?",13,1,1,НАБУ,ребе
"Карма, Морда, Бомжетта... давай, навчися запам*ятовувати імена всіх їхніх котів. це ж красивіше, ніж просто в обличчя. південь, любов моя",21,0,3,,"Бомжетта, запам, ятовувати"
"Декламують щось, кричать, напарфумлені араби один одного перекрикують...",8,0,1,,напарфумлені
Нарізав вам фрагменти вчорашнього ефіру з Мураєвим.,7,0,1,,Мураєвим
"п'ятниця, 15 група на стрілецькому спорті помічає цей нефіговий збіг :)",8,0,1,,нефіговий
"Скоро заведу блог ""какой не надо бить женой"" і буду записувати вислови дружини брата. . .",14,2,0,"какой, женой",
Мій патронус - пити багато днів підряд.,6,0,1,,патронус
та шо блін)00) ти он тоже класнінька і нічьо)00,9,2,3,"шо, тоже","блін, класнінька, нічьо"
Цього разу навіть мої рейкери не витримали — промокли.,8,0,1,,рейкери
У тому сні ше фігурував єврейський цвинтар!,7,0,1,,ше
Бо це так #мімімі Люблю вас  і Саша,8,0,1,,мімімі
"Тато: ой прям, це ж не яєшня!",7,1,1,прям,яєшня
А тут чекають щоб прям щяс.,6,1,1,прям,щяс
"Канєшно плоха шо баріста ушол от мєня, але добре, що тепер можна прийти до нього на мій ідеальний капуч",19,1,5,шо,"Канєшно, баріста, ушол, мєня, капуч"
"Ванья, от дєнатурата слєпнут і умірают.",6,0,4,,"Ванья, дєнатурата, слєпнут, умірают"
Знайомтесь (як каже Roman Sinicyn) - це Книрік.,5,0,1,,Книрік
Взагалі як я не шукала якихось класних гейських сюжетних ліній - ніфіга не знайшла.,13,0,1,,ніфіга
"Ходжу на футбол заради гімну, а сьогодні шось запороли.",9,0,1,,шось
"З кажним роком різать свині стає трудніше, бо вони кажись еволюціонуют, бо стали якісь розумнішими!",15,0,2,,"кажним, еволюціонуют"
"Ото п'ятно на фото то ахрєнєнно прекрасний місяць  Уявіть, ніби і нв фото гарно",13,0,2,,"ахрєнєнно, нв"
Ретвітність полум'яного заклику при 911к читачів феноминальна.,5,0,2,,"Ретвітність, феноминальна"
"Д: Знаю я шо вам треба, не дам я тобі горілки.",11,2,0,"Д, шо",
От ця дєвачька отримала мендаль.,5,0,2,,"дєвачька, мендаль"
Знову включити друзів і прибрати срач на кухні чи dirty dancing 2 і танцювати?,11,1,0,срач,
Стала їх знімати - зачепилась ше й рукавицею.,7,0,1,,ше
"ні) просто от є в тебе улюблені, а потім вони проттраються між ногами від постійного носіння і всьо.",18,0,2,,"проттраються, всьо"
В пориві любові нафоловив нових людей.,6,0,1,,нафоловив
мене надихають чужі успіхі (інколи у формі легкої професійної заздрості) та дружній тролінг з мотивуючими підйобами :),16,0,3,,"успіхі, мотивуючими, підйобами"
"Я вибрила потилицю, скроню, зробила септум, змінила житло, дві роботи, кинула палити,",12,0,1,,септум
те саме можна вже сказати і про ХР (або слабке залізо або не знають як поставити щось сучасніше).,18,1,0,ХР,
"то шось ніфіга не смішно, як я міг переплутати 7 з 23??",10,0,2,,"шось, ніфіга"
"Ха, а начальника зьерехав мені, що ніхто не йде..",9,0,1,,зьерехав
Ждем силку на пабліку ми патріоти України,7,0,1,,пабліку
"з якими я найбільше дружила,була найпристосованіша до життя,а решта ще в облаках літали.ти мудра,образована,обдарована,добра,чесна,",19,2,1,"облаках, образована",найпристосованіша
"залежить. от якщо кілька подруг готують, то нормас. проблеми в хазяйках різних поколінь",13,0,1,,нормас
"Я думала,нічо не відбувається,бо її закрили.",8,0,1,,нічо
